PMI2,T-score,Отношение,Слово
41.49609858675315,1.414215128363884,на_Loc,место
39.61736093536982,1.0000048176783485,от_Gen,время
38.75299584735661,1.41421379627459,в_Loc,страх
38.11075123465507,1.000001695520673,в_Acc,голова
35.75299584735661,1.0000003307866663,от_Gen,страх
35.223754624738014,1.000000229208391,в_Loc,усилие
34.63578023348475,1.000000152486917,в_Acc,памятник
34.234246998555655,1.0000001154407225,в_Loc,горе
34.231256955949846,1.0000001152017148,от_Gen,мороз
34.076590834446606,1.0000001034903372,от_Gen,ненависть
33.8920148072132,1.0000000910619364,в_Loc,отчаяние
33.53753614018204,1.0000000712242967,в_Loc,поза
31.976579102471675,1.0000000241397784,в_Loc,зрачок
30.93307746383509,1.0000000117113776,у_Gen,изголовье
30.566295133163464,1.000000009082293,от_Gen,заморозок
30.405830460970222,1.000000008126262,от_Gen,сосредоточенность
Релевантные отношения:,"['на_Loc', 'от_Gen', 'в_Loc', 'в_Acc', 'у_Gen']"
